Filename:	D:\TGAdata\„∆√ŒœÈ\Ã∆–°º™\15%5mm.t6d

Temperature (°„C)	Weight % (%)
392.07	77.089
392.41	76.900
392.74	76.716
393.07	76.527
393.41	76.335
393.74	76.134
394.07	75.938
394.40	75.745
394.73	75.545
395.06	75.349
395.39	75.148
395.72	74.944
396.05	74.728
396.38	74.512
396.71	74.304
397.04	74.092
397.38	73.880
397.71	73.668
398.04	73.452
398.37	73.224
398.70	72.992
399.04	72.756
399.37	72.532
399.70	72.305
400.03	72.077
400.36	71.845
400.69	71.605
401.02	71.358
401.35	71.106
401.68	70.851
402.01	70.596
402.35	70.352
402.68	70.101
403.01	69.842
403.34	69.578
403.67	69.319
404.00	69.044
404.34	68.777
404.67	68.514
405.01	68.239
405.34	67.956
405.67	67.677
406.00	67.391
406.33	67.100
406.66	66.805
406.99	66.515
407.32	66.224
407.65	65.918
407.98	65.619
408.31	65.305
408.64	65.002
408.97	64.700
409.30	64.390
409.62	64.075
409.95	63.757
410.28	63.427
410.61	63.113
410.94	62.783
411.27	62.457
411.60	62.119
411.93	61.786
412.26	61.448
412.59	61.106
412.91	60.776
413.24	60.427
413.57	60.077
413.89	59.727
414.22	59.374
414.55	59.005
414.87	58.647
415.20	58.286
415.53	57.920
415.86	57.567
416.18	57.206
416.51	56.836
416.83	56.471
417.16	56.102
417.49	55.721
417.81	55.347
418.14	54.966
418.46	54.578
418.79	54.189
419.12	53.796
419.44	53.403
419.77	53.003
420.10	52.598
420.42	52.190
420.75	51.789
421.08	51.384
421.41	50.987
421.74	50.591
422.08	50.194
422.41	49.785
422.74	49.365
423.06	48.953
423.39	48.532
423.72	48.108
424.05	47.692
424.38	47.268
424.70	46.847
425.03	46.427
425.36	45.999
425.68	45.567
426.01	45.147
426.34	44.715
426.67	44.287
427.00	43.847
427.33	43.410
427.66	42.975
428.00	42.531
428.33	42.095
428.66	41.651
428.99	41.211
429.32	40.771
429.65	40.323
429.98	39.887
430.31	39.423
430.64	38.984
430.98	38.548
431.31	38.100
431.64	37.668
431.98	37.224
432.31	36.772
432.64	36.325
432.97	35.881
433.31	35.441
433.64	34.997
433.97	34.549
434.30	34.101
434.63	33.653
434.96	33.198
435.29	32.754
435.63	32.326
435.95	31.906
436.29	31.477
436.62	31.049
436.95	30.621
437.28	30.185
437.61	29.749
437.94	29.321
438.28	28.897
438.61	28.461
438.93	28.032
439.26	27.612
439.59	27.208
439.91	26.787
440.24	26.359
440.57	25.955
440.90	25.554
441.24	25.169
441.57	24.776
441.91	24.387
442.25	24.002
442.58	23.617
442.91	23.240
443.24	22.875
443.57	22.506
443.90	22.145
444.23	21.779
444.57	21.430
444.90	21.084
445.23	20.742
445.56	20.401
445.90	20.059
446.23	19.717
446.56	19.375
446.90	19.045
447.23	18.727
447.57	18.413
447.91	18.107
448.25	17.804
448.58	17.494
448.92	17.199
449.26	16.905
449.60	16.622
449.93	16.347
450.27	16.076
450.60	15.817
450.94	15.565
451.28	15.310
451.61	15.078
451.94	14.842
452.28	14.607
452.62	14.387
452.95	14.159
453.29	13.931
453.63	13.723
453.98	13.523
454.32	13.314
454.66	13.134
455.00	12.961
455.34	12.788
455.68	12.619
456.02	12.446
456.36	12.281
456.70	12.136
457.04	11.995
457.37	11.857
457.71	11.724
458.04	11.578
458.38	11.441
458.72	11.311
459.06	11.174
459.39	11.056
459.73	10.930
460.07	10.812
460.41	10.695
460.75	10.577
461.09	10.459
461.43	10.341
461.77	10.243
462.10	10.141
462.44	10.039
462.78	9.929
463.11	9.818
463.45	9.716
463.78	9.626
464.12	9.536
464.46	9.449
464.80	9.363
465.14	9.288
465.48	9.194
465.82	9.104
466.17	9.021
466.51	8.943
466.85	8.864
467.19	8.789
467.53	8.715
467.87	8.628
468.20	8.558
468.54	8.487
468.87	8.420
469.21	8.354
469.54	8.287
469.88	8.212
470.22	8.153
470.56	8.094
470.90	8.035
471.24	7.972
471.57	7.914
471.91	7.858
472.25	7.811
472.59	7.752
472.92	7.701
473.26	7.662
473.60	7.615
473.94	7.568
474.28	7.521
474.61	7.482
474.95	7.442
475.28	7.407
475.62	7.364
475.95	7.332
476.29	7.297
476.62	7.269
476.96	7.242
477.29	7.214
477.63	7.195
477.96	7.171
478.30	7.151
478.63	7.136
478.97	7.116
479.31	7.093
479.64	7.081
479.98	7.065
480.31	7.061
480.64	7.057
480.98	7.053
481.31	7.045
481.65	7.034
481.99	7.034
482.32	7.037
482.66	7.034
482.99	7.030
483.33	7.034
483.66	7.042
483.99	7.042
484.33	7.037
484.66	7.034
485.00	7.026
485.33	7.022
485.66	7.014
485.99	7.006
486.32	6.994
486.65	6.990
486.99	6.979
487.32	6.971
487.66	6.963
487.99	6.955
488.33	6.939
488.66	6.935
489.00	6.924
489.33	6.912
489.67	6.916
490.01	6.908
490.35	6.904
490.68	6.892
491.03	6.884
491.37	6.880
491.71	6.880
492.05	6.877
492.39	6.869
492.73	6.865
493.06	6.857
493.40	6.857
493.74	6.849
494.07	6.841
494.41	6.829
494.75	6.826
495.09	6.829
495.43	6.818
495.76	6.798
496.10	6.782
496.43	6.786
496.77	6.790
497.11	6.794
497.45	6.786
497.78	6.774
498.12	6.770
498.46	6.759
498.79	6.751
499.13	6.747
499.46	6.747
499.80	6.735
500.13	6.723
500.46	6.719
500.80	6.711
501.13	6.719
501.47	6.715
501.81	6.708
502.14	6.704
502.48	6.700
502.82	6.696
503.15	6.700
503.49	6.696
503.82	6.684
504.16	6.672
504.49	6.672
504.82	6.672
505.16	6.661
505.50	6.649
505.83	6.645
506.17	6.637
506.51	6.625
506.84	6.609
507.18	6.602
507.51	6.602
507.84	6.602
508.18	6.602
508.51	6.594
508.84	6.586
509.17	6.586
509.50	6.578
509.83	6.578
510.16	6.570
510.49	6.562
510.81	6.551
511.14	6.539
511.47	6.539
511.80	6.539
512.13	6.546
512.47	6.543
512.80	6.535
513.13	6.523
513.47	6.507
513.80	6.507
514.13	6.503
514.46	6.495
514.79	6.476
515.12	6.468
515.45	6.464
515.78	6.456
516.12	6.456
516.45	6.452
516.78	6.440
517.11	6.429
517.44	6.425
517.76	6.421
518.10	6.417
518.43	6.401
518.76	6.401
519.09	6.405
519.42	6.397
519.75	6.393
520.08	6.389
520.41	6.386
520.75	6.382
521.08	6.370
521.41	6.362
521.76	6.362
522.09	6.354
522.43	6.346
522.77	6.342
523.10	6.330
523.44	6.330
523.77	6.319
524.10	6.319
524.43	6.307
524.76	6.299
525.09	6.291
525.42	6.279
525.75	6.279
526.08	6.279
526.40	6.264
526.73	6.252
527.07	6.240
527.40	6.229
527.73	6.224
528.07	6.224
528.40	6.213
528.74	6.205
529.07	6.201
529.40	6.197
529.73	6.181
530.07	6.177
530.40	6.162
530.73	6.162
531.06	6.154
531.39	6.138
531.72	6.134
532.05	6.122
532.39	6.103
532.72	6.091
533.06	6.079
533.39	6.063
533.73	6.059
534.07	6.052
534.40	6.048
534.74	6.048
535.07	6.055
535.40	6.048
535.74	6.044
536.07	6.032
536.40	6.024
536.73	6.028
537.07	6.020
537.40	6.005
537.74	5.997
538.07	5.981
538.41	5.965
538.75	5.961
539.08	5.961
539.41	5.957
539.73	5.942
540.06	5.922
540.38	5.914
540.71	5.910
541.04	5.898
541.37	5.890
541.70	5.883
542.04	5.871
542.37	5.863
542.70	5.859
543.04	5.859
543.37	5.855
543.70	5.847
544.04	5.824
544.37	5.812
544.71	5.800
545.05	5.792
545.39	5.796
545.73	5.784
546.07	5.773
546.41	5.761
546.75	5.753
547.08	5.753
547.42	5.753
547.75	5.749
548.09	5.733
548.43	5.737
548.76	5.726
549.10	5.714
549.44	5.702
549.78	5.690
550.12	5.694
550.45	5.694
550.78	5.694
551.12	5.686
551.46	5.674
551.80	5.659
552.14	5.659
