Filename:	D:\TGAdata\ãÆÃÎÏé\ÌÆÐ¡¼ª\´¿PP.t6d

Temperature (¡ãC)	Weight % (%)
392.89	82.142
393.23	81.911
393.56	81.688
393.89	81.445
394.22	81.213
394.55	80.978
394.88	80.751
395.21	80.524
395.54	80.280
395.87	80.041
396.21	79.793
396.54	79.550
396.88	79.307
397.21	79.059
397.55	78.799
397.89	78.536
398.22	78.272
398.56	78.012
398.89	77.749
399.23	77.485
399.57	77.234
399.91	76.974
400.24	76.706
400.58	76.422
400.92	76.142
401.25	75.867
401.58	75.595
401.91	75.315
402.25	75.031
402.58	74.747
402.91	74.463
403.24	74.171
403.57	73.879
403.90	73.586
404.23	73.286
404.56	72.990
404.89	72.702
405.23	72.410
405.57	72.114
405.90	71.822
406.23	71.513
406.56	71.205
406.89	70.885
407.22	70.576
407.56	70.252
407.89	69.927
408.22	69.594
408.55	69.254
408.88	68.925
409.22	68.588
409.55	68.252
409.88	67.911
410.20	67.582
410.53	67.241
410.86	66.901
411.18	66.564
411.51	66.215
411.84	65.870
412.17	65.513
412.50	65.152
412.84	64.791
413.16	64.430
413.49	64.077
413.82	63.712
414.14	63.347
414.47	62.986
414.80	62.613
415.13	62.231
415.45	61.842
415.77	61.468
416.10	61.079
416.42	60.686
416.75	60.296
417.07	59.902
417.41	59.517
417.74	59.132
418.06	58.730
418.39	58.324
418.72	57.911
419.06	57.521
419.39	57.115
419.72	56.714
420.05	56.312
420.38	55.898
420.71	55.476
421.04	55.054
421.37	54.624
421.70	54.199
422.03	53.769
422.36	53.343
422.70	52.900
423.03	52.474
423.36	52.040
423.69	51.586
424.03	51.132
424.36	50.689
424.69	50.235
425.02	49.777
425.35	49.310
425.68	48.851
426.01	48.385
426.34	47.918
426.67	47.452
427.00	46.973
427.33	46.490
427.66	46.028
427.99	45.537
428.32	45.042
428.66	44.559
428.99	44.064
429.32	43.549
429.66	43.046
430.00	42.555
430.34	42.040
430.68	41.533
431.01	41.026
431.34	40.507
431.67	39.987
432.00	39.472
432.34	38.940
432.67	38.417
433.00	37.894
433.33	37.358
433.66	36.819
433.99	36.295
434.33	35.748
434.66	35.196
434.99	34.644
435.32	34.088
435.65	33.541
435.99	32.997
436.33	32.441
436.66	31.890
437.00	31.342
437.34	30.778
437.67	30.218
438.01	29.674
438.35	29.131
438.68	28.571
439.02	28.027
439.34	27.472
439.67	26.904
440.00	26.332
440.33	25.759
440.66	25.175
441.00	24.603
441.33	24.031
441.67	23.459
442.01	22.899
442.35	22.335
442.68	21.767
443.02	21.204
443.35	20.636
443.69	20.076
444.03	19.524
444.36	18.960
444.69	18.409
445.03	17.885
445.36	17.321
445.70	16.761
446.04	16.214
446.38	15.666
446.71	15.114
447.05	14.579
447.38	14.051
447.72	13.528
448.05	13.037
448.38	12.530
448.72	12.051
449.05	11.589
449.38	11.118
449.72	10.672
450.05	10.234
450.38	9.804
450.72	9.390
451.06	9.005
451.40	8.627
451.74	8.291
452.08	7.962
452.42	7.649
452.75	7.361
453.09	7.090
453.42	6.818
453.76	6.570
454.10	6.335
454.43	6.104
454.76	5.893
455.10	5.694
455.43	5.495
455.76	5.317
456.10	5.142
456.44	4.968
456.78	4.806
457.12	4.660
457.46	4.522
457.81	4.384
458.14	4.258
458.48	4.140
458.82	4.011
459.16	3.889
459.50	3.795
459.85	3.702
460.20	3.605
460.55	3.511
460.89	3.426
461.24	3.349
461.58	3.272
461.92	3.199
462.25	3.138
462.59	3.073
462.93	2.996
463.27	2.931
463.61	2.866
463.96	2.805
