Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\10%5mm.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
33.31	3.5847
33.33	3.5851
33.34	3.5857
33.36	3.5862
33.38	3.5866
33.40	3.5870
33.41	3.5877
33.43	3.5881
33.44	3.5887
33.46	3.5893
33.48	3.5899
33.49	3.5905
33.51	3.5910
33.52	3.5913
33.55	3.5918
33.56	3.5923
33.58	3.5926
33.59	3.5929
33.61	3.5931
33.63	3.5933
33.65	3.5936
33.66	3.5940
33.68	3.5943
33.70	3.5947
33.71	3.5955
33.73	3.5961
33.74	3.5966
33.77	3.5970
33.78	3.5973
33.80	3.5980
33.81	3.5984
33.83	3.5989
33.84	3.5993
33.86	3.5999
33.88	3.6003
33.89	3.6007
33.91	3.6012
33.93	3.6016
33.95	3.6020
33.96	3.6024
33.98	3.6027
33.99	3.6029
34.01	3.6033
34.03	3.6036
34.04	3.6040
34.06	3.6045
34.08	3.6051
34.09	3.6057
34.11	3.6063
34.12	3.6069
34.14	3.6074
34.16	3.6080
34.18	3.6085
34.19	3.6090
34.21	3.6095
34.23	3.6099
34.24	3.6105
34.26	3.6110
34.28	3.6114
34.30	3.6119
34.31	3.6124
34.33	3.6127
34.34	3.6130
34.36	3.6135
34.38	3.6138
34.40	3.6142
34.41	3.6149
34.43	3.6153
34.44	3.6161
34.46	3.6167
34.48	3.6173
34.49	3.6179
34.51	3.6185
34.52	3.6190
34.54	3.6194
34.55	3.6201
34.57	3.6207
34.59	3.6210
34.61	3.6214
34.63	3.6218
34.64	3.6222
34.66	3.6224
34.67	3.6229
34.69	3.6233
34.71	3.6236
34.72	3.6242
34.74	3.6248
34.76	3.6255
34.77	3.6258
34.79	3.6266
34.81	3.6272
34.83	3.6277
34.84	3.6283
34.86	3.6287
34.88	3.6291
34.89	3.6297
34.91	3.6302
34.92	3.6306
34.94	3.6310
34.96	3.6315
34.98	3.6319
34.99	3.6325
35.01	3.6329
35.02	3.6335
35.04	3.6341
35.06	3.6343
35.08	3.6346
35.09	3.6349
35.10	3.6354
35.13	3.6361
35.14	3.6367
35.16	3.6375
