Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\20%5mm.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
27.70	3.4992
27.72	3.4998
27.74	3.5003
27.75	3.5008
27.77	3.5013
27.79	3.5016
27.80	3.5020
27.82	3.5024
27.84	3.5030
27.85	3.5034
27.87	3.5040
27.88	3.5045
27.90	3.5047
27.92	3.5051
27.94	3.5056
27.95	3.5063
27.97	3.5067
27.98	3.5074
28.00	3.5080
28.03	3.5088
28.04	3.5095
28.05	3.5100
28.07	3.5105
28.09	3.5111
28.10	3.5116
28.12	3.5121
28.14	3.5127
28.15	3.5130
28.17	3.5137
28.19	3.5142
28.20	3.5147
28.22	3.5150
28.23	3.5154
28.25	3.5159
28.27	3.5162
28.28	3.5167
28.30	3.5171
28.32	3.5177
28.34	3.5183
28.35	3.5190
28.37	3.5197
28.39	3.5205
28.40	3.5211
28.42	3.5218
28.44	3.5224
28.45	3.5226
28.47	3.5231
28.49	3.5234
28.50	3.5239
28.52	3.5242
28.53	3.5246
28.55	3.5250
28.57	3.5255
28.58	3.5259
28.60	3.5264
28.62	3.5268
28.64	3.5273
28.65	3.5276
28.67	3.5282
28.69	3.5289
28.70	3.5295
28.72	3.5302
28.73	3.5309
28.75	3.5316
28.77	3.5322
28.78	3.5328
28.80	3.5333
28.82	3.5337
28.84	3.5343
28.85	3.5346
28.87	3.5351
28.89	3.5356
28.90	3.5359
28.92	3.5363
28.94	3.5368
28.95	3.5370
28.97	3.5376
28.99	3.5382
29.00	3.5386
29.02	3.5392
29.03	3.5396
29.05	3.5403
29.07	3.5409
29.08	3.5416
29.10	3.5421
29.12	3.5428
29.14	3.5431
29.15	3.5435
29.17	3.5440
29.18	3.5444
29.20	3.5449
29.22	3.5455
29.23	3.5456
29.25	3.5459
29.27	3.5463
29.29	3.5469
29.30	3.5473
29.31	3.5476
29.33	3.5482
29.35	3.5485
29.37	3.5488
29.39	3.5495
29.40	3.5500
29.42	3.5506
29.43	3.5511
29.45	3.5515
29.47	3.5521
29.48	3.5526
29.50	3.5530
29.52	3.5536
29.54	3.5539
29.55	3.5543
29.57	3.5547
29.59	3.5552
29.60	3.5554
29.62	3.5559
29.63	3.5563
29.65	3.5567
29.67	3.5572
29.69	3.5577
29.70	3.5579
29.72	3.5581
29.73	3.5585
29.75	3.5591
29.76	3.5596
29.78	3.5600
29.80	3.5604
29.82	3.5610
29.83	3.5615
29.85	3.5618
29.87	3.5623
29.88	3.5630
29.90	3.5632
29.92	3.5636
29.93	3.5640
29.95	3.5643
29.97	3.5647
29.99	3.5649
30.00	3.5655
30.02	3.5659
30.04	3.5662
30.05	3.5667
30.07	3.5669
30.09	3.5673
30.10	3.5677
30.12	3.5680
30.14	3.5688
30.15	3.5695
30.16	3.5702
30.18	3.5706
30.20	3.5712
30.22	3.5716
30.23	3.5722
30.25	3.5723
30.27	3.5728
30.29	3.5731
30.30	3.5736
30.32	3.5737
30.33	3.5741
30.35	3.5744
30.37	3.5749
30.38	3.5752
30.40	3.5757
30.42	3.5760
30.44	3.5762
30.45	3.5767
30.47	3.5774
30.49	3.5781
30.50	3.5787
30.52	3.5793
30.53	3.5796
30.55	3.5801
30.57	3.5806
30.58	3.5810
30.60	3.5814
30.62	3.5820
30.63	3.5826
30.65	3.5829
30.67	3.5835
30.68	3.5839
30.70	3.5845
30.72	3.5850
30.73	3.5855
30.75	3.5857
30.77	3.5862
30.78	3.5863
30.80	3.5867
30.82	3.5871
30.83	3.5875
30.85	3.5882
30.87	3.5887
30.88	3.5893
30.90	3.5898
30.92	3.5906
30.93	3.5911
30.95	3.5917
30.97	3.5922
30.99	3.5926
31.00	3.5929
31.02	3.5933
31.04	3.5937
31.05	3.5939
31.07	3.5942
31.08	3.5946
31.10	3.5949
31.12	3.5951
31.13	3.5956
31.15	3.5961
31.16	3.5968
31.18	3.5975
31.20	3.5981
31.22	3.5986
31.23	3.5992
31.25	3.5994
31.27	3.6000
31.29	3.6006
31.30	3.6011
31.32	3.6016
31.33	3.6023
31.35	3.6025
31.36	3.6029
31.38	3.6035
31.40	3.6040
31.42	3.6042
31.43	3.6047
31.45	3.6049
31.47	3.6054
31.48	3.6057
31.50	3.6060
31.52	3.6066
31.53	3.6075
31.55	3.6080
31.57	3.6087
31.58	3.6093
31.60	3.6097
31.62	3.6102
31.63	3.6108
31.65	3.6113
31.66	3.6116
31.68	3.6121
31.70	3.6122
31.71	3.6126
31.73	3.6129
31.75	3.6134
31.77	3.6137
31.78	3.6140
31.80	3.6144
31.82	3.6149
31.83	3.6154
31.85	3.6157
31.86	3.6163
31.88	3.6167
31.90	3.6170
31.92	3.6177
31.93	3.6182
31.95	3.6188
