Filename:	D:\TGAdata\„∆√ŒœÈ\20150506\chunPP.pdid

Temperature (°„C)	Heat Flow Endo Up (mW)
26.46	3.6157
26.48	3.6162
26.49	3.6171
26.51	3.6178
26.53	3.6184
26.54	3.6190
26.56	3.6197
26.57	3.6205
26.59	3.6211
26.61	3.6217
26.63	3.6222
26.65	3.6226
26.66	3.6231
26.68	3.6235
26.70	3.6238
26.71	3.6243
26.73	3.6246
26.75	3.6249
26.76	3.6254
26.78	3.6259
26.80	3.6262
26.81	3.6267
26.82	3.6271
26.84	3.6279
26.86	3.6286
26.88	3.6291
26.90	3.6297
26.91	3.6303
26.93	3.6308
26.95	3.6312
26.96	3.6316
26.98	3.6320
26.99	3.6322
27.01	3.6325
27.03	3.6328
27.05	3.6330
27.07	3.6332
27.07	3.6335
27.09	3.6339
27.11	3.6342
27.13	3.6346
27.14	3.6350
27.16	3.6354
27.18	3.6358
27.20	3.6361
27.21	3.6365
27.23	3.6369
27.25	3.6375
27.26	3.6380
27.28	3.6384
27.30	3.6389
27.31	3.6394
27.32	3.6397
27.34	3.6398
27.36	3.6403
27.38	3.6404
27.40	3.6407
27.41	3.6411
27.43	3.6414
27.44	3.6421
27.46	3.6424
27.48	3.6428
27.50	3.6430
27.51	3.6434
27.53	3.6433
27.55	3.6437
27.56	3.6441
27.58	3.6447
27.59	3.6452
27.61	3.6457
27.63	3.6462
27.65	3.6468
27.67	3.6473
27.68	3.6477
27.70	3.6482
27.72	3.6486
27.73	3.6490
27.75	3.6495
27.76	3.6500
27.78	3.6503
27.80	3.6510
27.81	3.6516
27.83	3.6519
27.84	3.6523
27.86	3.6527
27.88	3.6532
27.90	3.6537
27.91	3.6541
27.93	3.6548
27.95	3.6554
27.96	3.6561
27.98	3.6566
28.00	3.6574
28.01	3.6581
28.03	3.6586
28.05	3.6589
28.07	3.6594
28.08	3.6598
28.09	3.6604
28.11	3.6611
28.13	3.6614
28.14	3.6620
28.16	3.6625
28.18	3.6630
28.20	3.6636
28.21	3.6640
28.23	3.6644
28.25	3.6647
28.26	3.6651
28.28	3.6656
28.30	3.6664
28.31	3.6670
28.33	3.6677
28.34	3.6683
28.36	3.6690
28.38	3.6696
28.40	3.6701
28.41	3.6707
28.43	3.6711
28.45	3.6719
28.46	3.6724
28.48	3.6731
